date,scorer,proj
2026-06-10,Erling Haaland,5.51
2026-06-10,Harry Kane,4.2
2026-06-10,Lionel Messi,3.62
2026-06-10,Cristiano Ronaldo,3.6
2026-06-10,Kylian Mbappé,3.53
2026-06-10,Romelu Lukaku,3.3
2026-06-10,Ayase Ueda,2.82
2026-06-10,Mehdi Taremi,2.77
2026-06-10,Lautaro Martínez,2.72
2026-06-10,Viktor Gyökeres,2.55
2026-06-10,Mohamed Salah,2.43
2026-06-10,Mohamed Amoura,2.28
2026-06-10,Son Heung-min,2.24
2026-06-10,Mikel Oyarzabal,2.23
2026-06-10,Scott McTominay,2.19
2026-06-10,Luis Díaz,2.16
2026-06-10,Sardar Azmoun,2.13
2026-06-10,Marko Arnautović,2.1
2026-06-10,Andrej Kramarić,2.06
2026-06-10,Ayoub El Kaabi,2.05
2026-06-10,Duckens Nazon,2.02
2026-06-10,Cody Gakpo,1.94
2026-06-10,Enner Valencia,1.88
2026-06-10,Bruno Fernandes,1.88
2026-06-10,Aymen Hussein,1.87
2026-06-10,Mikel Merino,1.86
2026-06-10,Raphinha,1.78
2026-06-10,Alexander Sørloth,1.78
2026-06-10,Brahim Díaz,1.75
2026-06-10,Baghdad Bounedjah,1.71
2026-06-11,Erling Haaland,5.53
2026-06-11,Harry Kane,4.2
2026-06-11,Cristiano Ronaldo,3.61
2026-06-11,Lionel Messi,3.59
2026-06-11,Kylian Mbappé,3.52
2026-06-11,Romelu Lukaku,3.31
2026-06-11,Ayase Ueda,2.81
2026-06-11,Mehdi Taremi,2.78
2026-06-11,Lautaro Martínez,2.7
2026-06-11,Viktor Gyökeres,2.55
2026-06-11,Mohamed Salah,2.43
2026-06-11,Mohamed Amoura,2.28
2026-06-11,Mikel Oyarzabal,2.24
2026-06-11,Scott McTominay,2.18
2026-06-11,Luis Díaz,2.15
2026-06-11,Sardar Azmoun,2.14
2026-06-11,Raúl Jiménez,2.13
2026-06-11,Marko Arnautović,2.1
2026-06-11,Ayoub El Kaabi,2.04
2026-06-11,Andrej Kramarić,2.04
2026-06-11,Duckens Nazon,2.02
2026-06-11,Cody Gakpo,1.94
2026-06-11,Son Heung-min,1.94
2026-06-11,Enner Valencia,1.88
2026-06-11,Bruno Fernandes,1.88
2026-06-11,Mikel Merino,1.87
2026-06-11,Aymen Hussein,1.86
2026-06-11,Raphinha,1.78
2026-06-11,Alexander Sørloth,1.78
2026-06-11,Brahim Díaz,1.75
2026-06-12,Erling Haaland,5.52
2026-06-12,Harry Kane,4.19
2026-06-12,Lionel Messi,3.61
2026-06-12,Cristiano Ronaldo,3.61
2026-06-12,Kylian Mbappé,3.53
2026-06-12,Romelu Lukaku,3.3
2026-06-12,Folarin Balogun,2.91
2026-06-12,Ayase Ueda,2.82
2026-06-12,Mehdi Taremi,2.77
2026-06-12,Lautaro Martínez,2.7
2026-06-12,Viktor Gyökeres,2.55
2026-06-12,Mohamed Salah,2.42
2026-06-12,Mohamed Amoura,2.27
2026-06-12,Mikel Oyarzabal,2.24
2026-06-12,Scott McTominay,2.19
2026-06-12,Luis Díaz,2.14
2026-06-12,Sardar Azmoun,2.13
2026-06-12,Raúl Jiménez,2.13
2026-06-12,Marko Arnautović,2.1
2026-06-12,Andrej Kramarić,2.05
2026-06-12,Ayoub El Kaabi,2.04
2026-06-12,Duckens Nazon,2.02
2026-06-12,Son Heung-min,1.96
2026-06-12,Cody Gakpo,1.94
